c1,r1,w1,c2,r2,w2,benefit,concentration,inertia,reliability
0.26263429,0.10255527,0.645763256,0.501987944,0.665145458,0.104592021,-0.450010664,0.387781416,-0.981313131,-0.9348
0.274011046,0.112578264,0.753410918,0.459539166,0.713786274,0.201507396,-0.550821635,0.558992749,-0.986565657,-0.8611
0.28545417,0.1250014,0.650834949,-0.102750405,1.255563713,0.115606867,-0.420401044,0.359306124,-0.989191919,-0.9537
0.734939874,1.365357672,0.286833501,0.243837239,0.072152295,0.67063879,-0.480127558,0.464406551,-0.984747475,-0.9103
0.726177931,1.883866087,0.444113868,0.234906408,0.043045579,0.160998119,-0.413632266,0.332368302,-0.989292929,-0.9544
0.727542278,1.365315014,0.305944496,0.241956672,0.079436783,0.656764965,-0.370682105,0.275745911,-0.988181818,-0.9877
0.717636041,1.515582894,0.246633968,0.24259301,0.074742121,0.297451318,-0.370005391,0.27506724,-0.987979798,-0.9883
0.731015779,1.369931592,0.286258398,0.243888314,0.07076931,0.661434631,-0.530647028,0.526660761,-0.984646465,-0.8757
0.727061575,1.584116296,0.179584202,0.251280339,0.074751555,0.209857939,-0.531706506,0.509910985,-0.981919192,-0.8781
0.707395933,1.589865604,0.258142462,0.251280339,0.073845769,0.29426561,-0.490004014,0.446100746,-0.981717172,-0.9065
0.288180526,0.127053007,0.334489982,-0.141321371,1.334398971,0.105870821,-0.550223894,0.58924712,-0.989393939,-0.8561
0.728030168,1.868548829,0.441182063,0.236704534,0.040375895,0.167716704,-0.490537905,0.45960994,-0.987171717,-0.9019
0.731015779,1.372069088,0.286258398,0.243959324,0.070591351,0.634599626,-0.490192681,0.46489159,-0.984949495,-0.9031
0.728865503,1.851822067,0.416590343,0.237752273,0.043022774,0.161127367,-0.500420308,0.460613177,-0.986868687,-0.8972
0.72109536,1.884783163,0.447045896,0.234944261,0.043045579,0.162105873,-0.39087056,0.289771171,-0.988282828,-0.9723
0.727262007,1.873896236,0.480180172,0.237486148,0.043112104,0.162221655,-0.470131257,0.41825397,-0.987575758,-0.9171
0.720848463,1.832041269,0.445505355,0.23695988,0.04168218,0.158762953,-0.49020856,0.464165214,-0.988080808,-0.9016
0.708107498,1.871633541,0.874054435,0.124958037,0.409300896,0.179056762,-0.390184794,0.95012157,-1,-0.9082
0.278760516,0.121646475,0.605389569,0.528562791,0.761896736,0.118455203,-0.470297945,0.439424794,-0.988383838,-0.9178
0.721207228,1.881883926,0.436947909,0.237552917,0.041794094,0.162210883,-0.500045233,0.459541691,-0.986363636,-0.8969
0.735963708,1.3692249,0.277072192,0.237793266,0.07076931,0.67063879,-0.370219287,0.272904187,-0.989090909,-0.9867
0.720896506,1.830361634,0.431945649,0.237689265,0.043047388,0.162081102,-0.450260076,0.398287447,-0.986565657,-0.9306
0.727893439,1.585881835,0.148832385,0.21395999,0.078181402,0.290080322,-0.410295489,0.329411542,-0.98989899,-0.9448
0.720900315,1.880010986,0.361707228,0.218782224,0.043043638,0.170143397,-0.480007494,0.44404805,-0.98959596,-0.9003
0.727845766,1.656995729,0.367508978,0.126813423,0.839352884,0.190808667,-0.350431435,0.444450331,-0.999494949,-0.981
0.727801519,1.574696654,0.380437934,0.213661982,0.064348012,0.67735612,-0.492759472,0.459204354,-0.98989899,-0.8893
0.333592272,0.668523293,0.368329542,0.247935255,0.052331385,0.1623425,-0.561685966,0.566284501,-0.922525253,-0.8546
0.732120921,1.38676466,0.309988033,0.245904192,0.071854094,0.677699934,-0.570186456,0.570387257,-0.984141414,-0.8503
0.721545837,1.874959891,0.498460579,0.239026806,0.043116978,0.161899854,-0.54057355,0.523396314,-0.986969697,-0.8693
0.726335503,1.872913621,0.499370159,0.234101917,0.043044413,0.16050122,-0.380438049,0.289953253,-0.989393939,-0.9769
0.727828142,1.585486494,0.241301415,0.128821369,0.766931278,0.191822056,-0.390909075,1.024210962,-0.999393939,-0.9201
0.275366481,0.098431857,0.776076024,-0.125460058,1.651145026,1,-0.510127983,0.497196321,-0.983333333,-0.8903
0.285452497,0.128958258,0.74746072,-0.106172204,1.261479165,0.157343705,-0.380375499,0.299004472,-0.989292929,-0.9815
0.276752286,0.110889509,0.389059214,-0.13131521,1.614605444,0.192761409,-0.560366343,0.579861714,-0.986363636,-0.8534
0.720902715,1.872234232,0.743593386,0.237993666,0.043045579,0.190866739,-0.420253167,0.335418881,-0.987575758,-0.9534
0.727829458,1.569192577,0.24032653,0.127889262,0.836712591,0.191822056,-0.370643286,0.748214652,-0.999393939,-0.9502
0.728095623,1.591884435,0.241301415,0.128821369,0.766931278,0.191822056,-0.380196775,0.906201416,-0.99989899,-0.935
0.720902715,1.872234232,0.590955183,0.237970949,0.042927374,0.190629268,-0.460463156,0.397352041,-0.987171717,-0.9251
0.698374744,1.380968319,0.171185729,0.246942923,0.073742894,0.288383628,-0.500783635,0.466105926,-0.983030303,-0.8982
0.721207228,1.881883926,0.436947909,0.237552917,0.041794094,0.162210883,-0.500046414,0.459501725,-0.985656566,-0.8973
0.720930234,1.330285633,0.357666514,0.244835739,0.07166538,0.870911964,-0.540242254,0.527785365,-0.983838384,-0.8701
0.720701166,1.550671305,0.251367551,0.117749427,0.877891474,0.208689384,-0.350231305,0.463231774,-1,-0.9828
0.721024819,1.61125648,0.25515218,0.281789676,0.118009862,0.846578761,-0.560192599,0.584787143,-0.989090909,-0.8532
0.720900315,1.880010986,0.361707228,0.218782224,0.043043638,0.170143397,-0.500887867,0.485613144,-0.989494949,-0.8861
0.721211276,1.880492693,0.70883786,0.238316411,0.038122712,0.161607118,-0.500650431,0.46178849,-0.987676768,-0.8969
0.728597227,1.576939598,0.253619853,0.251813854,0.115886266,0.209594134,-0.360089462,0.269089504,-0.98989899,-0.9974
0.698299694,1.577790131,0.377856725,0.251246974,0.074342044,0.245305891,-0.370194411,0.262155432,-0.982525253,-0.9911
0.322051463,0.31373852,0.365565596,0.288295121,1.628784942,0.544739756,-0.344680934,0.215789662,-0.98989899,-1
0.720884155,1.840263084,0.43189784,0.237804104,0.043067585,0.164069652,-0.540060233,0.541268585,-0.987171717,-0.8679
0.603554801,1.508628327,0.563145091,0.195620704,1.378715646,0.161339824,-0.304004325,0.196338944,-1,-1
0.72079603,1.872063424,0.421011042,0.236895887,0.043083438,0.168387827,-0.480150315,0.437783701,-0.986666667,-0.9091
0.518464643,1.159720354,0.567832777,0.320114691,1.441571927,0.705863541,-0.256622493,0.167634206,-1,-1
0.285795309,0.126348525,0.313073355,-0.074895893,1.299236935,0.101342077,-0.380445848,0.299177929,-0.988888889,-0.9822
0.644423642,1.717334196,0.64627833,0.775056423,1.542659715,0.00612922,-0.323600291,0.21404571,-1,-1
0.280639445,0.1200188,0.552809528,-0.106477414,1.355029891,0.135897041,-0.510010012,0.499600272,-0.988181818,-0.8898
0.253812516,0.093441441,0.32774872,-0.080420494,0.672562337,0.037049288,-0.51013278,0.487411804,-0.981010101,-0.8902
0.327377703,0.569777743,0.666344949,0.281997438,0.908024926,0.196029556,-0.294265357,0.179252377,-0.98989899,-1
